Model size: 757K
Acc@10: 0.9010, Acc@20: 0.9910, Param Norm: 81.39, Grad Norm: 4.12
Acc@10: 0.9330, Acc@20: 0.9950, Param Norm: 81.41, Grad Norm: 2.93
Acc@10: 0.9120, Acc@20: 0.9880, Param Norm: 81.45, Grad Norm: 3.64
Acc@10: 0.9150, Acc@20: 0.9940, Param Norm: 81.48, Grad Norm: 1.35
Acc@10: 0.9150, Acc@20: 0.9910, Param Norm: 81.51, Grad Norm: 2.79
Acc@10: 0.9120, Acc@20: 0.9910, Param Norm: 81.53, Grad Norm: 3.74
Acc@10: 0.9250, Acc@20: 0.9930, Param Norm: 81.55, Grad Norm: 3.44
Acc@10: 0.9340, Acc@20: 0.9900, Param Norm: 81.59, Grad Norm: 2.82
Acc@10: 0.9260, Acc@20: 0.9900, Param Norm: 81.62, Grad Norm: 3.33
Acc@10: 0.9170, Acc@20: 0.9940, Param Norm: 81.64, Grad Norm: 5.53
Acc@10: 0.9150, Acc@20: 0.9890, Param Norm: 81.67, Grad Norm: 3.84
Acc@10: 0.9180, Acc@20: 0.9940, Param Norm: 81.70, Grad Norm: 3.11
Acc@10: 0.9360, Acc@20: 0.9890, Param Norm: 81.73, Grad Norm: 2.14
Model Saved!
Acc@10: 0.9380, Acc@20: 0.9950, Param Norm: 81.74, Grad Norm: 2.17
Acc@10: 0.9320, Acc@20: 0.9920, Param Norm: 81.76, Grad Norm: 1.44
Acc@10: 0.9160, Acc@20: 0.9900, Param Norm: 81.78, Grad Norm: 2.06
Acc@10: 0.9220, Acc@20: 0.9930, Param Norm: 81.79, Grad Norm: 3.58
Acc@10: 0.8940, Acc@20: 0.9930, Param Norm: 81.82, Grad Norm: 2.05
Acc@10: 0.9270, Acc@20: 0.9910, Param Norm: 81.84, Grad Norm: 2.48
Acc@10: 0.9150, Acc@20: 0.9920, Param Norm: 81.85, Grad Norm: 2.00
Acc@10: 0.9390, Acc@20: 0.9970, Param Norm: 81.87, Grad Norm: 0.70
Acc@10: 0.9020, Acc@20: 0.9890, Param Norm: 81.87, Grad Norm: 2.25
Acc@10: 0.9220, Acc@20: 0.9940, Param Norm: 81.89, Grad Norm: 2.76
Acc@10: 0.9020, Acc@20: 0.9910, Param Norm: 81.92, Grad Norm: 2.06
Acc@10: 0.9160, Acc@20: 0.9930, Param Norm: 81.95, Grad Norm: 2.16
Acc@10: 0.9240, Acc@20: 0.9940, Param Norm: 81.97, Grad Norm: 1.36
Acc@10: 0.9050, Acc@20: 0.9900, Param Norm: 81.98, Grad Norm: 2.22
Acc@10: 0.9340, Acc@20: 0.9910, Param Norm: 82.00, Grad Norm: 2.02
Acc@10: 0.8970, Acc@20: 0.9910, Param Norm: 82.01, Grad Norm: 1.72
Acc@10: 0.9170, Acc@20: 0.9920, Param Norm: 82.04, Grad Norm: 2.10
Acc@10: 0.9160, Acc@20: 0.9940, Param Norm: 82.06, Grad Norm: 2.14
Acc@10: 0.9110, Acc@20: 0.9910, Param Norm: 82.07, Grad Norm: 2.61
Acc@10: 0.9310, Acc@20: 0.9950, Param Norm: 82.10, Grad Norm: 1.30
Model Saved!
Acc@10: 0.9210, Acc@20: 0.9880, Param Norm: 82.10, Grad Norm: 2.17
Acc@10: 0.9260, Acc@20: 0.9920, Param Norm: 82.11, Grad Norm: 2.73
Acc@10: 0.9120, Acc@20: 0.9940, Param Norm: 82.14, Grad Norm: 1.69
Acc@10: 0.9300, Acc@20: 0.9920, Param Norm: 82.16, Grad Norm: 2.01
Acc@10: 0.9150, Acc@20: 0.9950, Param Norm: 82.18, Grad Norm: 1.83
Acc@10: 0.9060, Acc@20: 0.9900, Param Norm: 82.20, Grad Norm: 1.64
Acc@10: 0.9090, Acc@20: 0.9900, Param Norm: 82.23, Grad Norm: 1.60
Acc@10: 0.9130, Acc@20: 0.9940, Param Norm: 82.23, Grad Norm: 2.30
Acc@10: 0.9240, Acc@20: 0.9930, Param Norm: 82.25, Grad Norm: 1.88
Acc@10: 0.9370, Acc@20: 0.9980, Param Norm: 82.27, Grad Norm: 2.13
